doi,title,abstract,publication_year,source,cited_by_count,is_oa,oa_url,query_label,filter_decision,filter_reason
https://doi.org/10.3390/su13052956,Knowledge Management Practices for Sustainable Supply Chain Management: A Challenge for Business Education,"In the last decades, business competition has been increasingly among supply chains (SCs) rather than individual firms. Today, considering the challenges of environmental, social, and economic sustainability, it is becoming even more vital to coordinate and co-manage company resources, activities, and innovative efforts at the SC level. Consequently, knowledge, which is a critical resource for companies, needs to be managed properly not only in single firms but also across SCs. For the education of business managers, this implies a double challenge: first, to make students and future executives become aware of the knowledge management (KM) practices that can be adopted; second, to facilitate the assimilation of these practices for the effective management of SCs, to ensure higher economic and environmentally sustainable performances. Standard definitions and classifications can be of great help, but the current studies are very fragmented. This study contributes by exploring the literature and examining the KM practices that are proposed and defined by the different authors. A systematic review and a descriptive analysis of selected papers showed the trend and focus of papers in the KM and SC fields. In addition, based on the definitions and classifications drawn from the literature, this paper discusses a possible systematization of the key KM practices in SCs. The major contribution of this paper is the effort of re-definition and re-classification of KM practices and their potential importance for effective and sustainable SC management. This analysis can be especially useful for organizing KM courses targeted to current and future business managers.",2021,Sustainability,53,TRUE,https://www.mdpi.com/2071-1050/13/5/2956/pdf?version=1615279751,Block 2E: Tacit knowledge,EXCLUDE,Non-research operational AI: supply chain management
https://doi.org/10.3390/sci5040046,From Turing to Transformers: A Comprehensive Review and Tutorial on the Evolution and Applications of Generative Transformer Models,"In recent years, generative transformers have become increasingly prevalent in the field of artificial intelligence, especially within the scope of natural language processing. This paper provides a comprehensive overview of these models, beginning with the foundational theories introduced by Alan Turing and extending to contemporary generative transformer architectures. The manuscript serves as a review, historical account, and tutorial, aiming to offer a thorough understanding of the models’ importance, underlying principles, and wide-ranging applications. The tutorial section includes a practical guide for constructing a basic generative transformer model. Additionally, the paper addresses the challenges, ethical implications, and future directions in the study of generative models.",2023,Sci,52,TRUE,https://www.mdpi.com/2413-4155/5/4/46/pdf?version=1702628551,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.3389/frai.2024.1293084,Knowledge sharing in manufacturing using LLM-powered tools: user study and model benchmarking,"Recent advances in natural language processing enable more intelligent ways to support knowledge sharing in factories. In manufacturing, operating production lines has become increasingly knowledge-intensive, putting strain on a factory's capacity to train and support new operators. This paper introduces a Large Language Model (LLM)-based system designed to retrieve information from the extensive knowledge contained in factory documentation and knowledge shared by expert operators. The system aims to efficiently answer queries from operators and facilitate the sharing of new knowledge. We conducted a user study at a factory to assess its potential impact and adoption, eliciting several perceived benefits, namely, enabling quicker information retrieval and more efficient resolution of issues. However, the study also highlighted a preference for learning from a human expert when such an option is available. Furthermore, we benchmarked several commercial and open-sourced LLMs for this system. The current state-of-the-art model, GPT-4, consistently outperformed its counterparts, with open-source models trailing closely, presenting an attractive option given their data privacy and customization benefits. In summary, this work offers preliminary insights and a system design for factories considering using LLM tools for knowledge management.",2024,Frontiers in Artificial Intelligence,51,TRUE,https://www.frontiersin.org/articles/10.3389/frai.2024.1293084/pdf?isPublishedV2=False,Block 2E: Tacit knowledge,EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.48550/arxiv.2304.02020,A Bibliometric Review of Large Language Models Research from 2017 to 2023,"Large language models (LLMs) are a class of language models that have demonstrated outstanding performance across a range of natural language processing (NLP) tasks and have become a highly sought-after research area, because of their ability to generate human-like language and their potential to revolutionize science and technology. In this study, we conduct bibliometric and discourse analyses of scholarly literature on LLMs. Synthesizing over 5,000 publications, this paper serves as a roadmap for researchers, practitioners, and policymakers to navigate the current landscape of LLMs research. We present the research trends from 2017 to early 2023, identifying patterns in research paradigms and collaborations. We start with analyzing the core algorithm developments and NLP tasks that are fundamental in LLMs research. We then investigate the applications of LLMs in various fields and domains including medicine, engineering, social science, and humanities. Our review also reveals the dynamic, fast-paced evolution of LLMs research. Overall, this paper offers valuable insights into the current state, impact, and potential of LLMs research and its applications.",2023,arXiv (Cornell University),49,TRUE,https://arxiv.org/pdf/2304.02020,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.36227/techrxiv.24171183.v1,"A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges","&lt;p&gt;Large Language Models (LLMs) recently demonstrated extraordinary capability, including natural language processing (NLP), language translation, text generation, question answering, etc. Moreover, LLMs are a new and essential part of computerized language processing, having the ability to understand complex verbal patterns and generate coherent and appropriate replies for the situation. Though this success of LLMs has prompted a substantial increase in research contributions, rapid growth has made it difficult to understand the overall impact of these improvements. Since a lot of new research on LLMs is coming out quickly, it is getting tough to get an overview of all of them in a short note. Consequently, the research community would benefit from a short but thorough review of the recent changes in this area. This article thoroughly overviews LLMs, including their history, architectures, transformers, resources, training methods, applications, impacts, challenges, etc. This paper begins by discussing the fundamental concepts of LLMs with its traditional pipeline of the LLM training phase. It then provides an overview of the existing works, the history of LLMs, their evolution over time, the architecture of transformers in LLMs, the different resources of LLMs, and the different training methods that have been used to train them. It also demonstrated the datasets utilized in the studies. After that, the paper discusses the wide range of applications of LLMs, including biomedical and healthcare, education, social, business, and agriculture. It also illustrates how LLMs create an impact on society and shape the future of AI and how they can be used to solve real-world problems. Then it also explores open issues and challenges to deploying LLMs in real-world aspects, including ethical issues, model biases, computing resources, interoperability, contextual constraints, privacy, security, etc. It also discusses methods to improve the robustness and controllability of LLMs. Finally, the study analyses the future of LLM research and issues that need to be overcome to make LLMs more impactful and reliable. However, this review paper aims to help practitioners, researchers, and experts thoroughly understand the evolution of LLMs, pre-trained architectures, applications, challenges, and future goals. Furthermore, it serves as a valuable reference for future development and application of LLM in numerous practical domains.&lt;/p&gt;",2023,,47,TRUE,https://doi.org/10.36227/techrxiv.24171183.v1,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.18653/v1/2024.emnlp-main.764,"A Systematic Survey and Critical Review on Evaluating Large Language Models: Challenges, Limitations, and Recommendations","Md Tahmid Rahman Laskar, Sawsan Alqahtani, M Saiful Bari, Mizanur Rahman, Mohammad Abdullah Matin Khan, Haidar Khan, Israt Jahan, Amran Bhuiyan, Chee Wei Tan, Md Rizwan Parvez, Enamul Hoque, Shafiq Joty, Jimmy Huang. Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing. 2024.",2024,,44,TRUE,https://aclanthology.org/2024.emnlp-main.764.pdf,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.31235/osf.io/sthwk,Large Language Models for Text Classification: From Zero-Shot Learning to Instruction-Tuning,"Advances in large language models (LLMs) have transformed the field of natural language processing and have enormous potential for social scientific analysis. We explore the application of LLMs to supervised text classification. As a case study, we consider stance detection and examine variation in predictive accuracy across different architectures, training regimes, and task specifications. We compare ten models ranging in size from 86 million to 1.7 trillion parameters and four distinct training regimes: prompt-based zero-shot learning; few-shot learning; fine-tuning; and instruction-tuning. The largest models generally offer the best predictive performance, but fine-tuning smaller models is a competitive solution due to their relatively high accuracy and low cost. For complex prediction tasks, instruction-tuned open-weights models can perform well, rivaling state-of-the-art commercial models. We provide recommendations for the use of LLMs for text classification in sociological research and discuss the limitations and challenges related to the use of these technologies.",2023,,44,TRUE,https://osf.io/sthwk/download,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.3389/fpsyg.2021.583722,Use of Knowledge Transfer Theory to Improve Learning Outcomes of Cognitive and Non-cognitive Skills of University Students: Evidence From Taiwan,"Previous studies have explored a multitude of factors influencing student learning outcomes based on various theories. Knowledge transfer theory was adopted to develop the antecedents of student learning outcomes in the complete learning process. This study aims to explore the conspicuousness between various factors within the structural model, such as knowledge transfer, student orientation, and absorptive capacity, by combining marketing and management concepts with higher education studies. This study takes Taiwanese University students as its research samples, and purposive sampling is adopted. A total of 873 questionnaires are collected in this study. PLS-SEM was used to verify the structural relationship in data analysis via running of SmartPLS. The results indicate that knowledge transfer and student orientation have significant impacts on students' absorptive capacity and learning outcomes and that students' prior knowledge has a positive moderating effect on the relationship between knowledge transfer and absorptive capacities. Based on these findings, the researchers propose feasible suggestions for related issues and future research.",2021,Frontiers in Psychology,44,TRUE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.583722/pdf,Block 2E: Tacit knowledge,EXCLUDE,Pedagogical effectiveness (student outcomes): student learning outcome
https://doi.org/10.1080/07380569.2023.2279870,"Artificial Intelligence and K-12 Education: Possibilities, Pedagogies and Risks",,2023,Computers in the Schools,43,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/07380569.2023.2279870?download=true,Block 1H: AI and research practice (no field restriction),EXCLUDE,K-12/school context:  k-12
https://doi.org/10.48550/arxiv.2309.10892,Artificial Intelligence-Enabled Intelligent Assistant for Personalized and Adaptive Learning in Higher Education,"This paper presents a novel framework, Artificial Intelligence-Enabled Intelligent Assistant (AIIA), for personalized and adaptive learning in higher education. The AIIA system leverages advanced AI and Natural Language Processing (NLP) techniques to create an interactive and engaging learning platform. This platform is engineered to reduce cognitive load on learners by providing easy access to information, facilitating knowledge assessment, and delivering personalized learning support tailored to individual needs and learning styles. The AIIA's capabilities include understanding and responding to student inquiries, generating quizzes and flashcards, and offering personalized learning pathways. The research findings have the potential to significantly impact the design, implementation, and evaluation of AI-enabled Virtual Teaching Assistants (VTAs) in higher education, informing the development of innovative educational tools that can enhance student learning outcomes, engagement, and satisfaction. The paper presents the methodology, system architecture, intelligent services, and integration with Learning Management Systems (LMSs) while discussing the challenges, limitations, and future directions for the development of AI-enabled intelligent assistants in education.",2023,arXiv (Cornell University),42,TRUE,https://arxiv.org/pdf/2309.10892,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.1007/s11846-022-00539-3,Inter-organizational social capital of firms in developing economies and industry 4.0 readiness: the role of innovative capability and absorptive capacity,"Abstract The globalization of markets provides opportunities for firms to collaborate on various activities. These collaborations are the resource of social capital for firms to achieve sustainable competitiveness. This study aims to investigate how social capital (i.e., structural, relational, and cognitive social capital) between firms in a developing economy and developed economy strengthens their innovation capability and enhance their industry 4.0 readiness. Using Smart PLS-SEM to analyse the data collected from 320 managers representing 81 manufacturing firms in Pakistan, we found that social capital is positively associated with industry 4.0 readiness, and innovative capability mediates this relationship. The study contributes to the existing knowledge of understanding industry 4.0 readiness and provides useful insights for firms in developing economy to improves their innovation capability during the industry 4.0 era. This study likewise reveals the significance of three dimensions of social capital, which can facilitate to bring in digital knowledge from developed economies to developed economies to get ready for the fourth industrial revolution.",2022,Review of Managerial Science,41,TRUE,https://link.springer.com/content/pdf/10.1007/s11846-022-00539-3.pdf,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.1038/s41598-024-53255-1,A pilot study of measuring emotional response and perception of LLM-generated questionnaire and human-generated questionnaires,"The advent of ChatGPT has sparked a heated debate surrounding natural language processing technology and AI-powered chatbots, leading to extensive research and applications across various disciplines. This pilot study aims to investigate the impact of ChatGPT on users' experiences by administering two distinct questionnaires, one generated by humans and the other by ChatGPT, along with an Emotion Detecting Model. A total of 14 participants (7 female and 7 male) aged between 18 and 35 years were recruited, resulting in the collection of 8672 ChatGPT-associated data points and 8797 human-associated data points. Data analysis was conducted using Analysis of Variance (ANOVA). The results indicate that the utilization of ChatGPT enhances participants' happiness levels and reduces their sadness levels. While no significant gender influences were observed, variations were found about specific emotions. It is important to note that the limited sample size, narrow age range, and potential cultural impacts restrict the generalizability of the findings to a broader population. Future research directions should explore the impact of incorporating additional language models or chatbots on user emotions, particularly among specific age groups such as older individuals and teenagers. As one of the pioneering works evaluating the human perception of ChatGPT text and communication, it is noteworthy that ChatGPT received positive evaluations and demonstrated effectiveness in generating extensive questionnaires.",2024,Scientific Reports,38,TRUE,https://www.nature.com/articles/s41598-024-53255-1.pdf,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.1007/s10796-021-10206-9,Organizational Learning for Intelligence Amplification Adoption: Lessons from a Clinical Decision Support System Adoption Project,"Abstract Intelligence amplification exploits the opportunities of artificial intelligence, which includes data analytic techniques and codified knowledge for increasing the intelligence of human decision makers. Intelligence amplification does not replace human decision makers but may help especially professionals in making complex decisions by well-designed human-AI system learning interactions (i.e., triple loop learning). To understand the adoption challenges of intelligence amplification systems, we analyse the adoption of clinical decision support systems (CDSS) as an organizational learning process by the case of a CDSS implementation for deciding on administering antibiotics to prematurely born babies. We identify user-oriented single and double loop learning processes, triple loop learning, and institutional deutero learning processes as organizational learning processes that must be realized for effective intelligence amplification adoption. We summarize these insights in a system dynamic model—containing knowledge stocks and their transformation processes—by which we analytically structure insights from the diverse studies of CDSS and intelligence amplification adoption and by which intelligence amplification projects are given an analytic theory for their design and management. From our case study, we find multiple challenges of deutero learning that influence the effectiveness of IA implementation learning as transforming tacit knowledge into explicit knowledge and explicit knowledge back to tacit knowledge. In a discussion of implications, we generate further research directions and discuss the generalization of our case findings to different organizations.",2021,Information Systems Frontiers,35,TRUE,https://link.springer.com/content/pdf/10.1007/s10796-021-10206-9.pdf,Block 2E: Tacit knowledge,EXCLUDE,Non-research operational AI: clinical decision support system
https://doi.org/10.3389/fdmed.2024.1456208,Transforming dental diagnostics with artificial intelligence: advanced integration of ChatGPT and large language models for patient care,"Artificial intelligence has dramatically reshaped our interaction with digital technologies, ushering in an era where advancements in AI algorithms and Large Language Models (LLMs) have natural language processing (NLP) systems like ChatGPT. This study delves into the impact of cutting-edge LLMs, notably OpenAI's ChatGPT, on medical diagnostics, with a keen focus on the dental sector. Leveraging publicly accessible datasets, these models augment the diagnostic capabilities of medical professionals, streamline communication between patients and healthcare providers, and enhance the efficiency of clinical procedures. The advent of ChatGPT-4 is poised to make substantial inroads into dental practices, especially in the realm of oral surgery. This paper sheds light on the current landscape and explores potential future research directions in the burgeoning field of LLMs, offering valuable insights for both practitioners and developers. Furthermore, it critically assesses the broad implications and challenges within various sectors, including academia and healthcare, thus mapping out an overview of AI's role in transforming dental diagnostics for enhanced patient care.",2025,Frontiers in Dental Medicine,34,TRUE,https://www.frontiersin.org/journals/dental-medicine/articles/10.3389/fdmed.2024.1456208/pdf,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
